Bölge,Şehir,İstasyon,Tarih,PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),NOX (µg/m³),NO (µg/m³)
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-11-30 00:00:56,17.25,1.98,25.02,47.88,14.86
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-01 00:00:56,30.95,3.21,49.73,93.08,28.23
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-02 00:00:56,28.88,5.64,33.27,55.65,14.6
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-03 00:00:56,28.1,5.61,36.52,57.64,13.73
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-04 00:00:56,13.63,3.69,15.72,29.34,8.84
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-05 00:00:56,16.0,3.46,17.29,29.05,7.6
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-06 00:00:56,15.18,2.91,18.44,40.4,11.34
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-07 00:00:56,24.98,5.01,27.1,103.61,46.54
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-08 00:00:56,8.31,2.21,8.28,34.14,13.65
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-09 00:00:56,10.94,2.64,9.1,36.15,14.26
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-10 00:00:56,21.6,2.49,15.13,58.69,25.01
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-11 00:00:56,28.22,4.41,18.83,135.02,60.52
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-12 00:00:56,39.42,5.35,23.56,156.79,67.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-13 00:00:56,53.57,4.56,28.9,244.34,107.87
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-14 00:00:56,36.69,4.37,33.03,133.08,43.41
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-15 00:00:56,18.74,4.02,22.9,59.63,22.14
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-16 00:00:56,10.48,4.28,9.08,17.78,5.67
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-17 00:00:56,14.75,2.74,16.41,38.33,12.95
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-18 00:00:56,35.96,5.42,32.94,190.02,78.3
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-19 00:00:56,65.45,9.3,30.23,320.33,104.97
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-20 00:00:56,87.06,4.17,32.11,399.08,123.82
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-21 00:00:56,46.56,3.94,20.89,230.22,81.9
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-22 00:00:56,27.75,5.41,38.08,83.5,22.03
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-23 00:00:56,23.9,3.68,33.48,87.53,27.73
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-24 00:00:56,25.35,3.01,38.38,109.46,36.42
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-25 00:00:56,36.29,4.44,33.36,104.5,30.75
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-26 00:00:56,30.87,3.07,27.0,82.84,20.1
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-27 00:00:56,44.06,4.77,31.29,147.97,56.55
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-28 00:00:56,82.16,2.93,31.28,291.28,128.24
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-29 00:00:56,76.78,3.55,31.51,335.92,114.45
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-30 00:00:56,75.76,2.22,38.98,335.13,113.65
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2023-12-31 00:00:56,62.57,1.87,37.78,342.69,108.12
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-01 00:00:56,,,,,
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-02 00:00:56,,,,,
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-03 00:00:56,29.62,3.3,36.6,135.43,47.63
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-04 00:00:56,26.55,4.67,44.93,92.68,25.96
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-05 00:00:56,31.86,2.8,44.23,156.29,67.85
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-06 00:00:56,56.52,3.73,61.96,279.43,126.11
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-07 00:00:56,32.73,6.51,30.39,88.86,32.92
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-08 00:00:56,19.08,6.01,18.17,30.13,5.84
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-01-09 00:00:56,13.88,3.42,11.7,17.22,3.8
